temps_ms;throttle;yaw;pitch;trim;estat
13584;0;64;64;63;4
13626;0;64;64;63;4
13708;0;64;64;63;4
13752;0;64;64;63;4
13793;0;64;64;63;4
13837;0;64;64;63;4
13880;0;64;64;63;4
13921;0;64;64;63;4
13965;0;64;64;63;4
14007;0;64;64;63;4
14085;0;64;64;63;4
14126;0;64;64;63;4
14169;0;64;64;63;4
14216;0;64;64;63;4
14262;0;64;64;63;4
14308;0;64;64;63;4
14354;0;64;64;63;4
14395;0;64;64;63;4
14478;0;64;64;63;4
14519;0;64;64;63;4
14560;0;64;64;63;4
14602;0;64;64;63;4
14646;0;64;64;63;4
14689;0;64;64;63;4
14731;0;64;64;63;4
14773;0;64;64;63;4
14870;0;64;64;63;4
14911;0;64;64;63;4
14953;0;64;64;63;4
14996;0;64;64;63;4
15038;0;64;64;63;4
15079;0;64;64;63;4
15122;0;64;64;63;4
15167;0;64;64;63;4
15260;0;64;64;63;4
15301;0;64;64;63;4
15342;0;64;64;63;4
15385;0;64;64;63;4
15426;0;64;64;63;4
15468;0;64;64;63;4
15510;0;64;64;63;4
15552;0;64;64;63;4
15656;0;64;64;63;4
15696;0;64;64;63;4
15738;0;64;64;63;4
15780;0;64;64;63;4
15822;0;64;64;63;4
15866;0;64;64;63;4
15906;0;64;64;63;4
15948;0;64;64;63;4
16051;0;64;64;63;4
16091;0;64;64;63;4
16134;0;64;64;63;4
16180;0;64;64;63;4
16222;0;64;64;63;4
16263;0;64;64;63;4
