temps_ms;throttle;yaw;pitch;trim;estat;active_cam
19427;0;64;64;63;4;1
19471;0;64;64;63;4;1
19514;0;64;64;63;4;1
19555;0;64;64;63;4;1
19597;0;64;64;63;4;1
19642;0;64;64;63;4;1
19683;0;64;64;63;4;1
19724;0;64;64;63;4;1
19769;0;64;64;63;4;1
19815;0;64;64;63;4;1
19858;0;64;64;63;4;1
19899;0;64;64;63;4;1
19941;0;64;64;63;4;1
19985;0;64;64;63;4;1
20028;0;64;64;63;4;1
20069;0;64;64;63;4;1
20110;0;64;64;63;4;1
20155;0;64;64;63;4;1
20198;0;64;64;63;4;1
20238;0;64;64;63;4;1
20279;0;64;64;63;4;1
20320;0;64;64;63;4;1
20362;0;64;64;63;4;1
20406;0;64;64;63;4;1
20448;0;64;64;63;4;1
20494;0;64;64;63;4;1
20535;0;64;64;63;4;1
20579;0;64;64;63;4;1
20619;0;64;64;63;4;1
20662;0;64;64;63;4;1
20703;0;64;64;63;4;1
20746;0;64;64;63;4;1
20786;0;64;64;63;4;1
20829;0;64;64;63;4;1
20871;0;64;64;63;4;1
20915;0;64;64;63;4;1
20957;0;64;64;63;4;1
21002;0;64;64;63;4;1
21047;0;64;64;63;4;1
21089;0;64;64;63;4;1
21133;0;64;64;63;4;1
21176;0;64;64;63;4;1
21216;0;64;64;63;4;1
21261;0;64;64;63;4;1
21305;0;64;64;63;4;1
21346;0;64;64;63;4;1
21392;0;64;64;63;4;1
21436;0;64;64;63;4;1
21480;0;64;64;63;4;1
21524;0;64;64;63;4;1
21564;0;64;64;63;4;1
21605;0;64;64;63;4;1
21648;0;64;64;63;4;1
21690;0;64;64;63;4;1
21735;0;64;64;63;4;1
21776;0;64;64;63;4;1
